"dataset","comparison_profile","implementation","repetitions_completed","median_process_peak_rss_mb","iqr_process_peak_rss_mb","median_prefit_process_rss_mb","iqr_prefit_process_rss_mb","median_baseline_corrected_peak_increment_mb","iqr_baseline_corrected_peak_increment_mb","median_final_process_rss_mb","median_fit_object_mb","median_coefficient_path_mb","median_score_outputs_mb","median_loading_outputs_mb","median_fitted_outputs_mb","theoretical_cross_covariance_mb","theoretical_final_coefficient_mb","theoretical_coefficient_path_mb","theoretical_fitted_path_mb","theoretical_residual_path_mb","theoretical_train_scores_mb","theoretical_test_scores_mb","theoretical_largest_retained_name","theoretical_largest_retained_mb"
"tcga_hnsc_methylation","estimator_kernel","fastpls",50,466.10546875,0,398.19921875,0,67.90625,0,398.31640625,0.0601272583007812,0.024078369140625,0,0,0,0.011932373046875,0.011932373046875,0.02386474609375,0.015869140625,0.015869140625,0.0079345703125,0.000885009765625,"coefficient path (p x q x A)",0.02386474609375
"tcga_pan_cancer","estimator_kernel","fastpls",30,661.48828125,0,451.80078125,0,209.6875,0,582.671875,39.6932983398438,38.3913269042969,0,0,0,0.20751953125,0.20751953125,38.39111328125,135.498046875,135.498046875,4.23431396484375,0.23974609375,"coefficient path (p x q x A)",38.39111328125
"ccle","complete_workflow","pls",50,553.02734375,0,404.2890625,0,148.73828125,0,485.125,8.46478271484375,3.64181518554688,0.144157409667969,0.268394470214844,1.98998260498047,0.1373291015625,0.1373291015625,3.570556640625,1.95309448242188,1.95309448242188,0.108505249023438,0.0097503662109375,"fitted/residual response path (n_train x q x A each)",1.95309448242188
"cifar100","complete_workflow","pls",0,,,,,,,,,,,,,,,,,,,,,
"gtex_v8","complete_workflow","pls",20,1897.20703125,0,472.22265625,0,1424.984375,0,1622.890625,337.743965148926,46.4862060546875,4.61312866210938,1.54648590087891,139.427124023438,0.244140625,0.244140625,46.38671875,139.16015625,139.16015625,4.3487548828125,0.194580078125,"fitted/residual response path (n_train x q x A each)",139.16015625
"metref","complete_workflow","pls",50,600.50390625,0,401.56640625,0,198.9375,0,532.734375,40.4751129150391,7.46001434326172,0.751113891601562,0.368522644042969,15.367057800293,0.0629425048828125,0.0629425048828125,7.42721557617188,15.3099670410156,15.3099670410156,0.695907592773438,0.01678466796875,"fitted/residual response path (n_train x q x A each)",15.3099670410156
"retina","complete_workflow","pls",30,999.35546875,0,436.91015625,0,562.4453125,0,860.6328125,138.981544494629,0.143791198730469,6.49723052978516,0.0170135498046875,62.8996505737305,0.00457763671875,0.00457763671875,0.1373291015625,61.5289306640625,61.5289306640625,5.12741088867188,2.05133056640625,"fitted/residual response path (n_train x q x A each)",61.5289306640625
"tabula","complete_workflow","pls",20,5113.2109375,0,478.90234375,0,4634.30859375,0,3701.30859375,1129.27906036377,0.545967102050781,21.7790222167969,0.0232086181640625,542.553649902344,0.01220703125,0.01220703125,0.537109375,537.5712890625,537.5712890625,16.7991027832031,12.221435546875,"fitted/residual response path (n_train x q x A each)",537.5712890625
"tcga_brca","complete_workflow","pls",50,520.1171875,0,401.90234375,0,118.21484375,0,452.46875,1.27191162109375,0.330474853515625,0.0933990478515625,0.116691589355469,0.25506591796875,0.03814697265625,0.03814697265625,0.26702880859375,0.201873779296875,0.201873779296875,0.040374755859375,0.00335693359375,"fitted/residual response path (n_train x q x A each)",0.201873779296875
"tcga_hnsc_methylation","complete_workflow","pls",50,503.109375,0,396.953125,0,106.15625,0,435.55859375,0.413253784179688,0.078369140625,0.0444412231445312,0.066436767578125,0.0523834228515625,0.011932373046875,0.011932373046875,0.02386474609375,0.015869140625,0.015869140625,0.0079345703125,0.000885009765625,"fitted/residual response path (n_train x q x A each)",0.015869140625
