"run_id","scenario_id","factor_name","design_partition","factor_value","task_type","n_train","n_test","p","q","latent_rank","class_count","max_ncomp","requested_prefixes","route","backend","svd_method","xprod","requested_oversample","requested_power","replicate","reference"
"16_q_250__cuda_rsvd_auto__rep3","16_q_250","q","one_factor",250,"regression",2000,400,400,250,30,NA,20,1,"cuda_rsvd_auto","cuda","rsvd","auto",NA,NA,3,FALSE
"17_q_500__cpu_irlba_explicit__rep1","17_q_500","q","one_factor",500,"regression",2000,400,400,500,30,NA,20,1,"cpu_irlba_explicit","cpu","irlba","explicit",32,5,1,TRUE
"17_q_500__cuda_rsvd_auto__rep1","17_q_500","q","one_factor",500,"regression",2000,400,400,500,30,NA,20,1,"cuda_rsvd_auto","cuda","rsvd","auto",NA,NA,1,FALSE
"17_q_500__cpu_irlba_explicit__rep2","17_q_500","q","one_factor",500,"regression",2000,400,400,500,30,NA,20,1,"cpu_irlba_explicit","cpu","irlba","explicit",32,5,2,TRUE
"17_q_500__cuda_rsvd_auto__rep2","17_q_500","q","one_factor",500,"regression",2000,400,400,500,30,NA,20,1,"cuda_rsvd_auto","cuda","rsvd","auto",NA,NA,2,FALSE
"17_q_500__cpu_irlba_explicit__rep3","17_q_500","q","one_factor",500,"regression",2000,400,400,500,30,NA,20,1,"cpu_irlba_explicit","cpu","irlba","explicit",32,5,3,TRUE
"17_q_500__cuda_rsvd_auto__rep3","17_q_500","q","one_factor",500,"regression",2000,400,400,500,30,NA,20,1,"cuda_rsvd_auto","cuda","rsvd","auto",NA,NA,3,FALSE
"18_q_1000__cpu_irlba_explicit__rep1","18_q_1000","q","one_factor",1000,"regression",2000,400,400,1000,30,NA,20,1,"cpu_irlba_explicit","cpu","irlba","explicit",32,5,1,TRUE
"18_q_1000__cuda_rsvd_auto__rep1","18_q_1000","q","one_factor",1000,"regression",2000,400,400,1000,30,NA,20,1,"cuda_rsvd_auto","cuda","rsvd","auto",NA,NA,1,FALSE
"18_q_1000__cpu_irlba_explicit__rep2","18_q_1000","q","one_factor",1000,"regression",2000,400,400,1000,30,NA,20,1,"cpu_irlba_explicit","cpu","irlba","explicit",32,5,2,TRUE
"18_q_1000__cuda_rsvd_auto__rep2","18_q_1000","q","one_factor",1000,"regression",2000,400,400,1000,30,NA,20,1,"cuda_rsvd_auto","cuda","rsvd","auto",NA,NA,2,FALSE
"18_q_1000__cpu_irlba_explicit__rep3","18_q_1000","q","one_factor",1000,"regression",2000,400,400,1000,30,NA,20,1,"cpu_irlba_explicit","cpu","irlba","explicit",32,5,3,TRUE
"18_q_1000__cuda_rsvd_auto__rep3","18_q_1000","q","one_factor",1000,"regression",2000,400,400,1000,30,NA,20,1,"cuda_rsvd_auto","cuda","rsvd","auto",NA,NA,3,FALSE
"19_ncomp_2__cpu_irlba_explicit__rep1","19_ncomp_2","ncomp","one_factor",2,"regression",2000,400,500,100,100,NA,2,1,"cpu_irlba_explicit","cpu","irlba","explicit",32,5,1,TRUE
"19_ncomp_2__cuda_rsvd_auto__rep1","19_ncomp_2","ncomp","one_factor",2,"regression",2000,400,500,100,100,NA,2,1,"cuda_rsvd_auto","cuda","rsvd","auto",NA,NA,1,FALSE
"19_ncomp_2__cpu_irlba_explicit__rep2","19_ncomp_2","ncomp","one_factor",2,"regression",2000,400,500,100,100,NA,2,1,"cpu_irlba_explicit","cpu","irlba","explicit",32,5,2,TRUE
"19_ncomp_2__cuda_rsvd_auto__rep2","19_ncomp_2","ncomp","one_factor",2,"regression",2000,400,500,100,100,NA,2,1,"cuda_rsvd_auto","cuda","rsvd","auto",NA,NA,2,FALSE
"19_ncomp_2__cpu_irlba_explicit__rep3","19_ncomp_2","ncomp","one_factor",2,"regression",2000,400,500,100,100,NA,2,1,"cpu_irlba_explicit","cpu","irlba","explicit",32,5,3,TRUE
"19_ncomp_2__cuda_rsvd_auto__rep3","19_ncomp_2","ncomp","one_factor",2,"regression",2000,400,500,100,100,NA,2,1,"cuda_rsvd_auto","cuda","rsvd","auto",NA,NA,3,FALSE
"20_ncomp_5__cpu_irlba_explicit__rep1","20_ncomp_5","ncomp","one_factor",5,"regression",2000,400,500,100,100,NA,5,1,"cpu_irlba_explicit","cpu","irlba","explicit",32,5,1,TRUE
"20_ncomp_5__cuda_rsvd_auto__rep1","20_ncomp_5","ncomp","one_factor",5,"regression",2000,400,500,100,100,NA,5,1,"cuda_rsvd_auto","cuda","rsvd","auto",NA,NA,1,FALSE
"20_ncomp_5__cpu_irlba_explicit__rep2","20_ncomp_5","ncomp","one_factor",5,"regression",2000,400,500,100,100,NA,5,1,"cpu_irlba_explicit","cpu","irlba","explicit",32,5,2,TRUE
"20_ncomp_5__cuda_rsvd_auto__rep2","20_ncomp_5","ncomp","one_factor",5,"regression",2000,400,500,100,100,NA,5,1,"cuda_rsvd_auto","cuda","rsvd","auto",NA,NA,2,FALSE
