"family","case","component","fold","fast_metric","reference_metric","status","error"
"OPLS","synthetic_classification_p_lt_n",3,4,0.657142857142857,0.657142857142857,"success",NA
"OPLS","synthetic_classification_p_lt_n",3,5,0.666666666666667,0.666666666666667,"success",NA
"OPLS","synthetic_classification_p_lt_n",4,1,0.631578947368421,0.631578947368421,"success",NA
"OPLS","synthetic_classification_p_lt_n",4,2,0.631578947368421,0.631578947368421,"success",NA
"OPLS","synthetic_classification_p_lt_n",4,3,0.583333333333333,0.583333333333333,"success",NA
"OPLS","synthetic_classification_p_lt_n",4,4,0.657142857142857,0.657142857142857,"success",NA
"OPLS","synthetic_classification_p_lt_n",4,5,0.696969696969697,0.696969696969697,"success",NA
"OPLS","synthetic_classification_p_lt_n",5,1,0.578947368421053,0.578947368421053,"success",NA
"OPLS","synthetic_classification_p_lt_n",5,2,0.578947368421053,0.578947368421053,"success",NA
"OPLS","synthetic_classification_p_lt_n",5,3,0.527777777777778,0.527777777777778,"success",NA
"OPLS","synthetic_classification_p_lt_n",5,4,0.685714285714286,0.685714285714286,"success",NA
"OPLS","synthetic_classification_p_lt_n",5,5,0.636363636363636,0.636363636363636,"success",NA
"kernelPLS_rbf","synthetic_classification_p_lt_n",1,1,0.394736842105263,0.394736842105263,"success",NA
"kernelPLS_rbf","synthetic_classification_p_lt_n",1,2,0.421052631578947,0.421052631578947,"success",NA
"kernelPLS_rbf","synthetic_classification_p_lt_n",1,3,0.444444444444444,0.444444444444444,"success",NA
"kernelPLS_rbf","synthetic_classification_p_lt_n",1,4,0.428571428571429,0.428571428571429,"success",NA
"kernelPLS_rbf","synthetic_classification_p_lt_n",1,5,0.454545454545455,0.454545454545455,"success",NA
"kernelPLS_rbf","synthetic_classification_p_lt_n",2,1,0.578947368421053,0.578947368421053,"success",NA
"kernelPLS_rbf","synthetic_classification_p_lt_n",2,2,0.578947368421053,0.578947368421053,"success",NA
"kernelPLS_rbf","synthetic_classification_p_lt_n",2,3,0.555555555555556,0.555555555555556,"success",NA
"kernelPLS_rbf","synthetic_classification_p_lt_n",2,4,0.571428571428571,0.571428571428571,"success",NA
"kernelPLS_rbf","synthetic_classification_p_lt_n",2,5,0.636363636363636,0.636363636363636,"success",NA
"kernelPLS_rbf","synthetic_classification_p_lt_n",3,1,0.605263157894737,0.605263157894737,"success",NA
"kernelPLS_rbf","synthetic_classification_p_lt_n",3,2,0.710526315789474,0.710526315789474,"success",NA
"kernelPLS_rbf","synthetic_classification_p_lt_n",3,3,0.638888888888889,0.638888888888889,"success",NA
"kernelPLS_rbf","synthetic_classification_p_lt_n",3,4,0.685714285714286,0.685714285714286,"success",NA
"kernelPLS_rbf","synthetic_classification_p_lt_n",3,5,0.696969696969697,0.696969696969697,"success",NA
"kernelPLS_rbf","synthetic_classification_p_lt_n",4,1,0.763157894736842,0.763157894736842,"success",NA
"kernelPLS_rbf","synthetic_classification_p_lt_n",4,2,0.657894736842105,0.657894736842105,"success",NA
"kernelPLS_rbf","synthetic_classification_p_lt_n",4,3,0.722222222222222,0.722222222222222,"success",NA
"kernelPLS_rbf","synthetic_classification_p_lt_n",4,4,0.742857142857143,0.742857142857143,"success",NA
"kernelPLS_rbf","synthetic_classification_p_lt_n",4,5,0.727272727272727,0.727272727272727,"success",NA
"kernelPLS_rbf","synthetic_classification_p_lt_n",5,1,0.763157894736842,0.763157894736842,"success",NA
"kernelPLS_rbf","synthetic_classification_p_lt_n",5,2,0.68421052631579,0.68421052631579,"success",NA
"kernelPLS_rbf","synthetic_classification_p_lt_n",5,3,0.694444444444444,0.694444444444444,"success",NA
"kernelPLS_rbf","synthetic_classification_p_lt_n",5,4,0.714285714285714,0.714285714285714,"success",NA
"kernelPLS_rbf","synthetic_classification_p_lt_n",5,5,0.787878787878788,0.787878787878788,"success",NA
"kernelPLS_poly","synthetic_classification_p_lt_n",1,1,0.394736842105263,0.394736842105263,"success",NA
"kernelPLS_poly","synthetic_classification_p_lt_n",1,2,0.421052631578947,0.421052631578947,"success",NA
"kernelPLS_poly","synthetic_classification_p_lt_n",1,3,0.416666666666667,0.416666666666667,"success",NA
"kernelPLS_poly","synthetic_classification_p_lt_n",1,4,0.4,0.4,"success",NA
"kernelPLS_poly","synthetic_classification_p_lt_n",1,5,0.424242424242424,0.424242424242424,"success",NA
"kernelPLS_poly","synthetic_classification_p_lt_n",2,1,0.473684210526316,0.473684210526316,"success",NA
"kernelPLS_poly","synthetic_classification_p_lt_n",2,2,0.421052631578947,0.421052631578947,"success",NA
"kernelPLS_poly","synthetic_classification_p_lt_n",2,3,0.416666666666667,0.416666666666667,"success",NA
"kernelPLS_poly","synthetic_classification_p_lt_n",2,4,0.514285714285714,0.514285714285714,"success",NA
"kernelPLS_poly","synthetic_classification_p_lt_n",2,5,0.545454545454545,0.545454545454545,"success",NA
"kernelPLS_poly","synthetic_classification_p_lt_n",3,1,0.657894736842105,0.657894736842105,"success",NA
"kernelPLS_poly","synthetic_classification_p_lt_n",3,2,0.526315789473684,0.526315789473684,"success",NA
"kernelPLS_poly","synthetic_classification_p_lt_n",3,3,0.694444444444444,0.694444444444444,"success",NA
"kernelPLS_poly","synthetic_classification_p_lt_n",3,4,0.657142857142857,0.657142857142857,"success",NA
"kernelPLS_poly","synthetic_classification_p_lt_n",3,5,0.666666666666667,0.666666666666667,"success",NA
"kernelPLS_poly","synthetic_classification_p_lt_n",4,1,0.68421052631579,0.68421052631579,"success",NA
"kernelPLS_poly","synthetic_classification_p_lt_n",4,2,0.631578947368421,0.631578947368421,"success",NA
"kernelPLS_poly","synthetic_classification_p_lt_n",4,3,0.694444444444444,0.694444444444444,"success",NA
"kernelPLS_poly","synthetic_classification_p_lt_n",4,4,0.685714285714286,0.685714285714286,"success",NA
"kernelPLS_poly","synthetic_classification_p_lt_n",4,5,0.636363636363636,0.636363636363636,"success",NA
"kernelPLS_poly","synthetic_classification_p_lt_n",5,1,0.710526315789474,0.710526315789474,"success",NA
"kernelPLS_poly","synthetic_classification_p_lt_n",5,2,0.631578947368421,0.631578947368421,"success",NA
"kernelPLS_poly","synthetic_classification_p_lt_n",5,3,0.722222222222222,0.722222222222222,"success",NA
"kernelPLS_poly","synthetic_classification_p_lt_n",5,4,0.685714285714286,0.685714285714286,"success",NA
"kernelPLS_poly","synthetic_classification_p_lt_n",5,5,0.696969696969697,0.696969696969697,"success",NA
"OPLS","synthetic_classification_p_gt_n",1,1,0.476190476190476,0.476190476190476,"success",NA
"OPLS","synthetic_classification_p_gt_n",1,2,0.473684210526316,0.473684210526316,"success",NA
"OPLS","synthetic_classification_p_gt_n",1,3,0.470588235294118,0.470588235294118,"success",NA
"OPLS","synthetic_classification_p_gt_n",1,4,0.529411764705882,0.529411764705882,"success",NA
"OPLS","synthetic_classification_p_gt_n",1,5,0.4375,0.4375,"success",NA
"OPLS","synthetic_classification_p_gt_n",2,1,0.619047619047619,0.619047619047619,"success",NA
"OPLS","synthetic_classification_p_gt_n",2,2,0.526315789473684,0.526315789473684,"success",NA
"OPLS","synthetic_classification_p_gt_n",2,3,0.705882352941177,0.705882352941177,"success",NA
"OPLS","synthetic_classification_p_gt_n",2,4,0.529411764705882,0.529411764705882,"success",NA
"OPLS","synthetic_classification_p_gt_n",2,5,0.5,0.5,"success",NA
"OPLS","synthetic_classification_p_gt_n",3,1,0.571428571428571,0.571428571428571,"success",NA
"OPLS","synthetic_classification_p_gt_n",3,2,0.526315789473684,0.526315789473684,"success",NA
"OPLS","synthetic_classification_p_gt_n",3,3,0.705882352941177,0.705882352941177,"success",NA
"OPLS","synthetic_classification_p_gt_n",3,4,0.588235294117647,0.588235294117647,"success",NA
"OPLS","synthetic_classification_p_gt_n",3,5,0.5,0.5,"success",NA
"OPLS","synthetic_classification_p_gt_n",4,1,0.619047619047619,0.619047619047619,"success",NA
"OPLS","synthetic_classification_p_gt_n",4,2,0.526315789473684,0.526315789473684,"success",NA
"OPLS","synthetic_classification_p_gt_n",4,3,0.705882352941177,0.705882352941177,"success",NA
"OPLS","synthetic_classification_p_gt_n",4,4,0.647058823529412,0.647058823529412,"success",NA
"OPLS","synthetic_classification_p_gt_n",4,5,0.5,0.5,"success",NA
"OPLS","synthetic_classification_p_gt_n",5,1,0.523809523809524,0.523809523809524,"success",NA
"OPLS","synthetic_classification_p_gt_n",5,2,0.526315789473684,0.526315789473684,"success",NA
"OPLS","synthetic_classification_p_gt_n",5,3,0.529411764705882,0.529411764705882,"success",NA
"OPLS","synthetic_classification_p_gt_n",5,4,0.529411764705882,0.529411764705882,"success",NA
"OPLS","synthetic_classification_p_gt_n",5,5,0.5625,0.5625,"success",NA
"kernelPLS_rbf","synthetic_classification_p_gt_n",1,1,0.476190476190476,0.476190476190476,"success",NA
"kernelPLS_rbf","synthetic_classification_p_gt_n",1,2,0.421052631578947,0.421052631578947,"success",NA
"kernelPLS_rbf","synthetic_classification_p_gt_n",1,3,0.470588235294118,0.470588235294118,"success",NA
"kernelPLS_rbf","synthetic_classification_p_gt_n",1,4,0.529411764705882,0.529411764705882,"success",NA
"kernelPLS_rbf","synthetic_classification_p_gt_n",1,5,0.4375,0.4375,"success",NA
"kernelPLS_rbf","synthetic_classification_p_gt_n",2,1,0.523809523809524,0.523809523809524,"success",NA
"kernelPLS_rbf","synthetic_classification_p_gt_n",2,2,0.578947368421053,0.578947368421053,"success",NA
"kernelPLS_rbf","synthetic_classification_p_gt_n",2,3,0.470588235294118,0.470588235294118,"success",NA
"kernelPLS_rbf","synthetic_classification_p_gt_n",2,4,0.647058823529412,0.647058823529412,"success",NA
"kernelPLS_rbf","synthetic_classification_p_gt_n",2,5,0.5,0.5,"success",NA
"kernelPLS_rbf","synthetic_classification_p_gt_n",3,1,0.666666666666667,0.666666666666667,"success",NA
"kernelPLS_rbf","synthetic_classification_p_gt_n",3,2,0.578947368421053,0.578947368421053,"success",NA
"kernelPLS_rbf","synthetic_classification_p_gt_n",3,3,0.588235294117647,0.588235294117647,"success",NA
"kernelPLS_rbf","synthetic_classification_p_gt_n",3,4,0.647058823529412,0.647058823529412,"success",NA
