"dataset","task_type","dataset_path","split_seed","n_train","n_test","p","n_response","input_precision","execution_precision","classifier","classifier_backend","classifier_numeric_path","input_storage_mb","ncomp_requested","replicate","method_id","package","package_version","function_name","algorithm","requested_estimator","executed_estimator","independent_implementation","total_runtime_ms","metric_name","metric_value","accuracy","balanced_accuracy","macro_f1","rmse","q2","mae","status","warning_message","error_message","peak_host_rss_mb","user_cpu_sec","system_cpu_sec","process_status"
"ccle","classification","/home/chiamaka/Documents/fastpls/data/ccle.RData",123,547,71,1000,18,"float64","float64","argmax","pcv","float64",4.89482116699219,26,1,"pcv_simpls","pcv","1.1.0","pcv:::simpls","SIMPLS","simpls","simpls",TRUE,255,"accuracy",0.71830985915493,0.71830985915493,0.59021164021164,0.602765752765753,,,,"ok",,,147.671875,0.71,0.07,"ok"
"ccle","classification","/home/chiamaka/Documents/fastpls/data/ccle.RData",123,547,71,1000,18,"float64","float64","argmax","pcv","float64",4.89482116699219,26,2,"pcv_simpls","pcv","1.1.0","pcv:::simpls","SIMPLS","simpls","simpls",TRUE,254,"accuracy",0.71830985915493,0.71830985915493,0.59021164021164,0.602765752765753,,,,"ok",,,147.640625,0.71,0.07,"ok"
"ccle","classification","/home/chiamaka/Documents/fastpls/data/ccle.RData",123,547,71,1000,18,"float64","float64","argmax","pcv","float64",4.89482116699219,26,3,"pcv_simpls","pcv","1.1.0","pcv:::simpls","SIMPLS","simpls","simpls",TRUE,254,"accuracy",0.71830985915493,0.71830985915493,0.59021164021164,0.602765752765753,,,,"ok",,,147.367188,0.69,0.07,"ok"
"ccle","classification","/home/chiamaka/Documents/fastpls/data/ccle.RData",123,547,71,1000,18,"float64","float64","argmax","pcv","float64",4.89482116699219,26,4,"pcv_simpls","pcv","1.1.0","pcv:::simpls","SIMPLS","simpls","simpls",TRUE,257,"accuracy",0.71830985915493,0.71830985915493,0.59021164021164,0.602765752765753,,,,"ok",,,147.933594,0.72,0.05,"ok"
"ccle","classification","/home/chiamaka/Documents/fastpls/data/ccle.RData",123,547,71,1000,18,"float64","float64","argmax","pcv","float64",4.89482116699219,26,5,"pcv_simpls","pcv","1.1.0","pcv:::simpls","SIMPLS","simpls","simpls",TRUE,257,"accuracy",0.71830985915493,0.71830985915493,0.59021164021164,0.602765752765753,,,,"ok",,,147.796875,0.71,0.06,"ok"
"ccle","classification","/home/chiamaka/Documents/fastpls/data/ccle.RData",123,547,71,1000,18,"float64","float64","argmax","pcv","float64",4.89482116699219,26,6,"pcv_simpls","pcv","1.1.0","pcv:::simpls","SIMPLS","simpls","simpls",TRUE,254,"accuracy",0.71830985915493,0.71830985915493,0.59021164021164,0.602765752765753,,,,"ok",,,147.96875,0.7,0.06,"ok"
"ccle","classification","/home/chiamaka/Documents/fastpls/data/ccle.RData",123,547,71,1000,18,"float64","float64","argmax","pcv","float64",4.89482116699219,26,7,"pcv_simpls","pcv","1.1.0","pcv:::simpls","SIMPLS","simpls","simpls",TRUE,256,"accuracy",0.71830985915493,0.71830985915493,0.59021164021164,0.602765752765753,,,,"ok",,,147.34375,0.72,0.05,"ok"
"ccle","classification","/home/chiamaka/Documents/fastpls/data/ccle.RData",123,547,71,1000,18,"float64","float64","argmax","pcv","float64",4.89482116699219,26,8,"pcv_simpls","pcv","1.1.0","pcv:::simpls","SIMPLS","simpls","simpls",TRUE,254,"accuracy",0.71830985915493,0.71830985915493,0.59021164021164,0.602765752765753,,,,"ok",,,147.859375,0.71,0.05,"ok"
"ccle","classification","/home/chiamaka/Documents/fastpls/data/ccle.RData",123,547,71,1000,18,"float64","float64","argmax","pcv","float64",4.89482116699219,26,9,"pcv_simpls","pcv","1.1.0","pcv:::simpls","SIMPLS","simpls","simpls",TRUE,256,"accuracy",0.71830985915493,0.71830985915493,0.59021164021164,0.602765752765753,,,,"ok",,,147.667969,0.71,0.06,"ok"
"ccle","classification","/home/chiamaka/Documents/fastpls/data/ccle.RData",123,547,71,1000,18,"float64","float64","argmax","pcv","float64",4.89482116699219,26,10,"pcv_simpls","pcv","1.1.0","pcv:::simpls","SIMPLS","simpls","simpls",TRUE,254,"accuracy",0.71830985915493,0.71830985915493,0.59021164021164,0.602765752765753,,,,"ok",,,147.46875,0.7,0.06,"ok"
