"dataset","source","task_type","condition","seed","solver","randomized_seed","rsvd_oversample","rsvd_power","ncomp","fastpls_cv_metric","reference_cv_metric"
"syn_cls_p_gt_n_high_rank","synthetic","classification","well_conditioned",101,"rsvd",7,20,2,10,0.924452590361846,0.924452590361846
"syn_cls_p_gt_n_high_rank","synthetic","classification","well_conditioned",101,"rsvd",19,20,2,1,0.201872851891001,0.201872851891001
"syn_cls_p_gt_n_high_rank","synthetic","classification","well_conditioned",101,"rsvd",19,20,2,3,0.553754359373234,0.553754359373234
"syn_cls_p_gt_n_high_rank","synthetic","classification","well_conditioned",101,"rsvd",19,20,2,6,0.894452736616076,0.894452736616076
"syn_cls_p_gt_n_high_rank","synthetic","classification","well_conditioned",101,"rsvd",19,20,2,8,0.901135677389761,0.901135677389761
"syn_cls_p_gt_n_high_rank","synthetic","classification","well_conditioned",101,"rsvd",19,20,2,10,0.924452590361846,0.924452590361846
"syn_cls_p_gt_n_high_rank","synthetic","classification","well_conditioned",101,"rsvd",43,20,2,1,0.201872851891001,0.201872851891001
"syn_cls_p_gt_n_high_rank","synthetic","classification","well_conditioned",101,"rsvd",43,20,2,3,0.553754359373234,0.553754359373234
"syn_cls_p_gt_n_high_rank","synthetic","classification","well_conditioned",101,"rsvd",43,20,2,6,0.894452736616076,0.894452736616076
"syn_cls_p_gt_n_high_rank","synthetic","classification","well_conditioned",101,"rsvd",43,20,2,8,0.901135677389761,0.901135677389761
"syn_cls_p_gt_n_high_rank","synthetic","classification","well_conditioned",101,"rsvd",43,20,2,10,0.924452590361846,0.924452590361846
"syn_cls_p_gt_n_high_rank","synthetic","classification","well_conditioned",101,"rsvd",123,20,2,1,0.201872851891001,0.201872851891001
"syn_cls_p_gt_n_high_rank","synthetic","classification","well_conditioned",101,"rsvd",123,20,2,3,0.553754359373234,0.553754359373234
"syn_cls_p_gt_n_high_rank","synthetic","classification","well_conditioned",101,"rsvd",123,20,2,6,0.894452736616076,0.894452736616076
"syn_cls_p_gt_n_high_rank","synthetic","classification","well_conditioned",101,"rsvd",123,20,2,8,0.901135677389761,0.901135677389761
"syn_cls_p_gt_n_high_rank","synthetic","classification","well_conditioned",101,"rsvd",123,20,2,10,0.924452590361846,0.924452590361846
"syn_cls_ill_conditioned","synthetic","classification","ill_conditioned",101,"irlba",NA,NA,NA,1,0.361115672880379,0.361115672880379
"syn_cls_ill_conditioned","synthetic","classification","ill_conditioned",101,"irlba",NA,NA,NA,2,0.540783614901262,0.540783614901262
"syn_cls_ill_conditioned","synthetic","classification","ill_conditioned",101,"irlba",NA,NA,NA,3,0.522409662409662,0.522409662409662
"syn_cls_ill_conditioned","synthetic","classification","ill_conditioned",101,"irlba",NA,NA,NA,4,0.483663702487232,0.483663702487232
"syn_cls_ill_conditioned","synthetic","classification","ill_conditioned",101,"irlba",NA,NA,NA,5,0.405285557050263,0.405285557050263
"syn_cls_ill_conditioned","synthetic","classification","ill_conditioned",101,"rsvd",1,20,2,1,0.361115672880379,0.361115672880379
"syn_cls_ill_conditioned","synthetic","classification","ill_conditioned",101,"rsvd",1,20,2,2,0.540783614901262,0.540783614901262
"syn_cls_ill_conditioned","synthetic","classification","ill_conditioned",101,"rsvd",1,20,2,3,0.522409662409662,0.522409662409662
"syn_cls_ill_conditioned","synthetic","classification","ill_conditioned",101,"rsvd",1,20,2,4,0.483663702487232,0.483663702487232
"syn_cls_ill_conditioned","synthetic","classification","ill_conditioned",101,"rsvd",1,20,2,5,0.405285557050263,0.405285557050263
"syn_cls_ill_conditioned","synthetic","classification","ill_conditioned",101,"rsvd",7,20,2,1,0.361115672880379,0.361115672880379
"syn_cls_ill_conditioned","synthetic","classification","ill_conditioned",101,"rsvd",7,20,2,2,0.540783614901262,0.540783614901262
"syn_cls_ill_conditioned","synthetic","classification","ill_conditioned",101,"rsvd",7,20,2,3,0.522409662409662,0.522409662409662
"syn_cls_ill_conditioned","synthetic","classification","ill_conditioned",101,"rsvd",7,20,2,4,0.483663702487232,0.483663702487232
"syn_cls_ill_conditioned","synthetic","classification","ill_conditioned",101,"rsvd",7,20,2,5,0.405285557050263,0.405285557050263
"syn_cls_ill_conditioned","synthetic","classification","ill_conditioned",101,"rsvd",19,20,2,1,0.361115672880379,0.361115672880379
"syn_cls_ill_conditioned","synthetic","classification","ill_conditioned",101,"rsvd",19,20,2,2,0.540783614901262,0.540783614901262
"syn_cls_ill_conditioned","synthetic","classification","ill_conditioned",101,"rsvd",19,20,2,3,0.522409662409662,0.522409662409662
"syn_cls_ill_conditioned","synthetic","classification","ill_conditioned",101,"rsvd",19,20,2,4,0.483663702487232,0.483663702487232
"syn_cls_ill_conditioned","synthetic","classification","ill_conditioned",101,"rsvd",19,20,2,5,0.405285557050263,0.405285557050263
"syn_cls_ill_conditioned","synthetic","classification","ill_conditioned",101,"rsvd",43,20,2,1,0.361115672880379,0.361115672880379
