"dataset","method","classifier","backend","svd_method","outer_index","outer_seed","n_total","n_outer_train","n_outer_test","p","q","inner_kfold","component_grid","effective_component_grid","grid_min","grid_max","effective_grid_min","effective_grid_max","selected_ncomp","selected_lower_boundary","selected_upper_boundary","upper_grid_rank_constrained","metric_name","metric_value","accuracy","RMSD","Q2","selection_time_sec","final_fit_prediction_time_sec","total_time_sec","status","error"
"retina","plssvd","lda","cpu","rsvd",9,907,44808,35842,8966,50,12,5,"2;5;10;11","2;5;10;11",2,11,2,11,11,FALSE,TRUE,TRUE,"accuracy",0.947691278161945,0.947691278161945,NA,NA,1.055,0.0520000000000032,1.107,"ok",NA
"retina","plssvd","lda","cpu","rsvd",10,1009,44808,35842,8966,50,12,5,"2;5;10;11","2;5;10;11",2,11,2,11,11,FALSE,TRUE,TRUE,"accuracy",0.945349096587107,0.945349096587107,NA,NA,1.054,0.0530000000000008,1.107,"ok",NA
"retina","simpls","argmax","cpu","rsvd",1,101,44808,35842,8966,50,12,5,"2;5;10;20;30;40;50","2;5;10;20;30;40;50",2,50,2,50,30,FALSE,FALSE,FALSE,"accuracy",0.969105509703324,0.969105509703324,NA,0.847003085564966,1.237,0.0519999999999996,1.289,"ok",NA
"retina","simpls","argmax","cpu","rsvd",2,211,44808,35842,8966,50,12,5,"2;5;10;20;30;40;50","2;5;10;20;30;40;50",2,50,2,50,50,FALSE,TRUE,FALSE,"accuracy",0.967655587776043,0.967655587776043,NA,0.84377250844367,1.297,0.0539999999999985,1.351,"ok",NA
"retina","simpls","argmax","cpu","rsvd",3,307,44808,35842,8966,50,12,5,"2;5;10;20;30;40;50","2;5;10;20;30;40;50",2,50,2,50,40,FALSE,FALSE,FALSE,"accuracy",0.970666964086549,0.970666964086549,NA,0.850688872608641,1.219,0.0529999999999973,1.27199999999999,"ok",NA
"retina","simpls","argmax","cpu","rsvd",4,401,44808,35842,8966,50,12,5,"2;5;10;20;30;40;50","2;5;10;20;30;40;50",2,50,2,50,40,FALSE,FALSE,FALSE,"accuracy",0.9685478474236,0.9685478474236,NA,0.847916197020458,1.225,0.054000000000002,1.279,"ok",NA
"retina","simpls","argmax","cpu","rsvd",5,503,44808,35842,8966,50,12,5,"2;5;10;20;30;40;50","2;5;10;20;30;40;50",2,50,2,50,40,FALSE,FALSE,FALSE,"accuracy",0.964867276377426,0.964867276377426,NA,0.842062912330481,1.217,0.0530000000000044,1.27,"ok",NA
"retina","simpls","argmax","cpu","rsvd",6,601,44808,35842,8966,50,12,5,"2;5;10;20;30;40;50","2;5;10;20;30;40;50",2,50,2,50,30,FALSE,FALSE,FALSE,"accuracy",0.967544055320098,0.967544055320098,NA,0.846435781604413,1.211,0.0529999999999973,1.264,"ok",NA
"retina","simpls","argmax","cpu","rsvd",7,701,44808,35842,8966,50,12,5,"2;5;10;20;30;40;50","2;5;10;20;30;40;50",2,50,2,50,20,FALSE,FALSE,FALSE,"accuracy",0.966986393040375,0.966986393040375,NA,0.84261751790757,1.226,0.0519999999999996,1.278,"ok",NA
"retina","simpls","argmax","cpu","rsvd",8,809,44808,35842,8966,50,12,5,"2;5;10;20;30;40;50","2;5;10;20;30;40;50",2,50,2,50,20,FALSE,FALSE,FALSE,"accuracy",0.968101717599822,0.968101717599822,NA,0.847792057882245,1.241,0.0530000000000044,1.294,"ok",NA
