"family","setting","case","task","component","fold","fast_metric","reference_metric","status","error"
"kernelPLS","rbf_gamma_1_over_p","synthetic_regression_p_lt_n","regression",5,5,1.29640471406643,1.29640471406643,"success",NA
"kernelPLS","rbf_gamma_4_over_p","synthetic_regression_p_lt_n","regression",1,1,1.95533051100056,1.95533051100056,"success",NA
"kernelPLS","rbf_gamma_4_over_p","synthetic_regression_p_lt_n","regression",1,2,1.79118724716572,1.79118724716572,"success",NA
"kernelPLS","rbf_gamma_4_over_p","synthetic_regression_p_lt_n","regression",1,3,1.9272916334392,1.9272916334392,"success",NA
"kernelPLS","rbf_gamma_4_over_p","synthetic_regression_p_lt_n","regression",1,4,1.92438917793385,1.92438917793385,"success",NA
"kernelPLS","rbf_gamma_4_over_p","synthetic_regression_p_lt_n","regression",1,5,2.28390283411706,2.28390283411706,"success",NA
"kernelPLS","rbf_gamma_4_over_p","synthetic_regression_p_lt_n","regression",2,1,1.82860310880668,1.82860310880668,"success",NA
"kernelPLS","rbf_gamma_4_over_p","synthetic_regression_p_lt_n","regression",2,2,1.65134848219482,1.65134848219482,"success",NA
"kernelPLS","rbf_gamma_4_over_p","synthetic_regression_p_lt_n","regression",2,3,1.7710171941916,1.7710171941916,"success",NA
"kernelPLS","rbf_gamma_4_over_p","synthetic_regression_p_lt_n","regression",2,4,1.81223181742268,1.81223181742268,"success",NA
"kernelPLS","rbf_gamma_4_over_p","synthetic_regression_p_lt_n","regression",2,5,2.11018912956551,2.11018912956551,"success",NA
"kernelPLS","rbf_gamma_4_over_p","synthetic_regression_p_lt_n","regression",3,1,1.7471050676601,1.7471050676601,"success",NA
"kernelPLS","rbf_gamma_4_over_p","synthetic_regression_p_lt_n","regression",3,2,1.56511517660869,1.56511517660869,"success",NA
"kernelPLS","rbf_gamma_4_over_p","synthetic_regression_p_lt_n","regression",3,3,1.67400550828806,1.67400550828806,"success",NA
"kernelPLS","rbf_gamma_4_over_p","synthetic_regression_p_lt_n","regression",3,4,1.66490377438459,1.66490377438459,"success",NA
"kernelPLS","rbf_gamma_4_over_p","synthetic_regression_p_lt_n","regression",3,5,2.02715324922235,2.02715324922235,"success",NA
"kernelPLS","rbf_gamma_4_over_p","synthetic_regression_p_lt_n","regression",4,1,1.70044961045528,1.70044961045528,"success",NA
"kernelPLS","rbf_gamma_4_over_p","synthetic_regression_p_lt_n","regression",4,2,1.51130063593356,1.51130063593356,"success",NA
"kernelPLS","rbf_gamma_4_over_p","synthetic_regression_p_lt_n","regression",4,3,1.63613042360974,1.63613042360974,"success",NA
