"component","fast_metric","reference_metric","family","setting","case"
5,0.534289768538995,0.534289768538995,"OPLS","north_2","synthetic_classification_p_gt_n"
1,0.477474937343358,0.477474937343358,"OPLS","north_3","synthetic_classification_p_gt_n"
2,0.56734298982751,0.56734298982751,"OPLS","north_3","synthetic_classification_p_gt_n"
3,0.540605189444199,0.540605189444199,"OPLS","north_3","synthetic_classification_p_gt_n"
4,0.500737136960047,0.500737136960047,"OPLS","north_3","synthetic_classification_p_gt_n"
5,0.524030664897538,0.524030664897538,"OPLS","north_3","synthetic_classification_p_gt_n"
1,0.477474937343358,0.477474937343358,"kernelPLS","linear","synthetic_classification_p_gt_n"
2,0.565636517765001,0.565636517765001,"kernelPLS","linear","synthetic_classification_p_gt_n"
3,0.665763673890609,0.665763673890609,"kernelPLS","linear","synthetic_classification_p_gt_n"
4,0.795766991006929,0.795766991006929,"kernelPLS","linear","synthetic_classification_p_gt_n"
5,0.809002285124576,0.809002285124576,"kernelPLS","linear","synthetic_classification_p_gt_n"
1,0.477474937343358,0.477474937343358,"kernelPLS","rbf_gamma_0.25_over_p","synthetic_classification_p_gt_n"
2,0.555110201975527,0.555110201975527,"kernelPLS","rbf_gamma_0.25_over_p","synthetic_classification_p_gt_n"
3,0.65202528379773,0.65202528379773,"kernelPLS","rbf_gamma_0.25_over_p","synthetic_classification_p_gt_n"
4,0.741661138139466,0.741661138139466,"kernelPLS","rbf_gamma_0.25_over_p","synthetic_classification_p_gt_n"
5,0.777454666076957,0.777454666076957,"kernelPLS","rbf_gamma_0.25_over_p","synthetic_classification_p_gt_n"
1,0.466948621553885,0.466948621553885,"kernelPLS","rbf_gamma_1_over_p","synthetic_classification_p_gt_n"
2,0.544080790210821,0.544080790210821,"kernelPLS","rbf_gamma_1_over_p","synthetic_classification_p_gt_n"
3,0.608681630546956,0.608681630546956,"kernelPLS","rbf_gamma_1_over_p","synthetic_classification_p_gt_n"
4,0.754896432257113,0.754896432257113,"kernelPLS","rbf_gamma_1_over_p","synthetic_classification_p_gt_n"
5,0.740654946189002,0.740654946189002,"kernelPLS","rbf_gamma_1_over_p","synthetic_classification_p_gt_n"
1,0.433895400265369,0.433895400265369,"kernelPLS","rbf_gamma_4_over_p","synthetic_classification_p_gt_n"
2,0.555342400117942,0.555342400117942,"kernelPLS","rbf_gamma_4_over_p","synthetic_classification_p_gt_n"
3,0.575392525431225,0.575392525431225,"kernelPLS","rbf_gamma_4_over_p","synthetic_classification_p_gt_n"
4,0.63999336576736,0.63999336576736,"kernelPLS","rbf_gamma_4_over_p","synthetic_classification_p_gt_n"
5,0.683069806870116,0.683069806870116,"kernelPLS","rbf_gamma_4_over_p","synthetic_classification_p_gt_n"
1,0.477474937343358,0.477474937343358,"kernelPLS","poly_degree2_offset1","synthetic_classification_p_gt_n"
2,0.565636517765001,0.565636517765001,"kernelPLS","poly_degree2_offset1","synthetic_classification_p_gt_n"
3,0.655237358101135,0.655237358101135,"kernelPLS","poly_degree2_offset1","synthetic_classification_p_gt_n"
4,0.753425844021819,0.753425844021819,"kernelPLS","poly_degree2_offset1","synthetic_classification_p_gt_n"
5,0.752419652071355,0.752419652071355,"kernelPLS","poly_degree2_offset1","synthetic_classification_p_gt_n"
1,0.477474937343358,0.477474937343358,"kernelPLS","poly_degree3_offset1","synthetic_classification_p_gt_n"
2,0.55062840925844,0.55062840925844,"kernelPLS","poly_degree3_offset1","synthetic_classification_p_gt_n"
3,0.618205440070765,0.618205440070765,"kernelPLS","poly_degree3_offset1","synthetic_classification_p_gt_n"
4,0.698081601061477,0.698081601061477,"kernelPLS","poly_degree3_offset1","synthetic_classification_p_gt_n"
5,0.7140572018281,0.7140572018281,"kernelPLS","poly_degree3_offset1","synthetic_classification_p_gt_n"
1,0.32297471620227,0.32297471620227,"kernelPLS","poly_degree4_offset1","synthetic_classification_p_gt_n"
2,0.520051968155683,0.520051968155683,"kernelPLS","poly_degree4_offset1","synthetic_classification_p_gt_n"
3,0.514243328910512,0.514243328910512,"kernelPLS","poly_degree4_offset1","synthetic_classification_p_gt_n"
4,0.590872401592216,0.590872401592216,"kernelPLS","poly_degree4_offset1","synthetic_classification_p_gt_n"
5,0.673956951201533,0.673956951201533,"kernelPLS","poly_degree4_offset1","synthetic_classification_p_gt_n"
1,0.311210010319917,0.311210010319917,"kernelPLS","poly_degree3_offset0","synthetic_classification_p_gt_n"
2,0.4421808196963,0.4421808196963,"kernelPLS","poly_degree3_offset0","synthetic_classification_p_gt_n"
3,0.457424812030075,0.457424812030075,"kernelPLS","poly_degree3_offset0","synthetic_classification_p_gt_n"
4,0.543078283945157,0.543078283945157,"kernelPLS","poly_degree3_offset0","synthetic_classification_p_gt_n"
5,0.561797877045555,0.561797877045555,"kernelPLS","poly_degree3_offset0","synthetic_classification_p_gt_n"
1,0.656674066309404,0.656674066309404,"OPLS","north_1","gasoline_real_regression"
2,0.29301147271662,0.293011472716621,"OPLS","north_1","gasoline_real_regression"
3,0.238886788551265,0.238886788551228,"OPLS","north_1","gasoline_real_regression"
4,0.223642783587199,0.223642783587201,"OPLS","north_1","gasoline_real_regression"
5,0.21120803505354,0.211208035054045,"OPLS","north_1","gasoline_real_regression"
1,0.293011472716621,0.293011472716622,"OPLS","north_2","gasoline_real_regression"
2,0.238886788551244,0.23888678855123,"OPLS","north_2","gasoline_real_regression"
3,0.223642783587325,0.223642783587213,"OPLS","north_2","gasoline_real_regression"
4,0.211208035054453,0.211208035054065,"OPLS","north_2","gasoline_real_regression"
5,0.225895747319635,0.225895747318732,"OPLS","north_2","gasoline_real_regression"
1,0.238886788551229,0.238886788551233,"OPLS","north_3","gasoline_real_regression"
2,0.223642783587112,0.223642783587201,"OPLS","north_3","gasoline_real_regression"
3,0.211208035053352,0.211208035054039,"OPLS","north_3","gasoline_real_regression"
4,0.225895747319819,0.225895747318661,"OPLS","north_3","gasoline_real_regression"
5,0.252284343362786,0.25228434336188,"OPLS","north_3","gasoline_real_regression"
1,1.16720593824964,1.16720593824964,"kernelPLS","linear","gasoline_real_regression"
2,0.656674066309403,0.656674066309403,"kernelPLS","linear","gasoline_real_regression"
3,0.29301147271662,0.293011472716622,"kernelPLS","linear","gasoline_real_regression"
4,0.238886788551219,0.238886788551228,"kernelPLS","linear","gasoline_real_regression"
5,0.223642783587243,0.223642783587206,"kernelPLS","linear","gasoline_real_regression"
1,1.49101045742612,1.49101045742612,"kernelPLS","rbf_gamma_0.25_over_p","gasoline_real_regression"
2,1.24111591110095,1.24111591110095,"kernelPLS","rbf_gamma_0.25_over_p","gasoline_real_regression"
3,0.647557622477667,0.647557622477665,"kernelPLS","rbf_gamma_0.25_over_p","gasoline_real_regression"
4,0.40934471382991,0.409344713829904,"kernelPLS","rbf_gamma_0.25_over_p","gasoline_real_regression"
5,0.377410252352235,0.377410252352236,"kernelPLS","rbf_gamma_0.25_over_p","gasoline_real_regression"
1,1.33060877707983,1.33060877707983,"kernelPLS","rbf_gamma_1_over_p","gasoline_real_regression"
2,1.19840479744551,1.19840479744551,"kernelPLS","rbf_gamma_1_over_p","gasoline_real_regression"
3,0.88206494565783,0.882064945657828,"kernelPLS","rbf_gamma_1_over_p","gasoline_real_regression"
4,0.751849578785314,0.751849578785314,"kernelPLS","rbf_gamma_1_over_p","gasoline_real_regression"
5,0.651575004682235,0.651575004682232,"kernelPLS","rbf_gamma_1_over_p","gasoline_real_regression"
1,1.21885317445841,1.21885317445841,"kernelPLS","rbf_gamma_4_over_p","gasoline_real_regression"
2,1.13197682032188,1.13197682032188,"kernelPLS","rbf_gamma_4_over_p","gasoline_real_regression"
3,0.967064164448146,0.967064164448149,"kernelPLS","rbf_gamma_4_over_p","gasoline_real_regression"
4,0.951668368005161,0.951668368005161,"kernelPLS","rbf_gamma_4_over_p","gasoline_real_regression"
5,0.940091864188635,0.940091864188637,"kernelPLS","rbf_gamma_4_over_p","gasoline_real_regression"
1,1.57450571730554,1.57450571730554,"kernelPLS","poly_degree2_offset1","gasoline_real_regression"
2,1.17509810391145,1.17509810391145,"kernelPLS","poly_degree2_offset1","gasoline_real_regression"
3,0.927704290819891,0.927704290819889,"kernelPLS","poly_degree2_offset1","gasoline_real_regression"
4,0.83213261484114,0.832132614841134,"kernelPLS","poly_degree2_offset1","gasoline_real_regression"
5,0.382846512847915,0.382846512847929,"kernelPLS","poly_degree2_offset1","gasoline_real_regression"
1,1.45731315948704,1.45731315948704,"kernelPLS","poly_degree3_offset1","gasoline_real_regression"
2,1.22958187970443,1.22958187970443,"kernelPLS","poly_degree3_offset1","gasoline_real_regression"
3,1.21993073996881,1.2199307399688,"kernelPLS","poly_degree3_offset1","gasoline_real_regression"
4,1.02345275202709,1.02345275202709,"kernelPLS","poly_degree3_offset1","gasoline_real_regression"
5,0.908487753756228,0.908487753756213,"kernelPLS","poly_degree3_offset1","gasoline_real_regression"
1,1.52087547973411,1.52087547973412,"kernelPLS","poly_degree4_offset1","gasoline_real_regression"
2,1.50489636832571,1.50489636832573,"kernelPLS","poly_degree4_offset1","gasoline_real_regression"
3,1.35772324594431,1.35772324594432,"kernelPLS","poly_degree4_offset1","gasoline_real_regression"
4,1.37248616739935,1.37248616739945,"kernelPLS","poly_degree4_offset1","gasoline_real_regression"
