"run_id","experiment","dataset","task_type","method","backend_requested","backend_reported","prediction_backend","svd_method","classifier","precision","ncomp","n_train","n_test","p","q","seed","replicate","requested_oversample","requested_power","control_profile","oversample","power","direction_rule","directions_per_solve","refresh_width","refresh_iterations","fresh_start","kernel","north","fit_sec","prediction_sec","total_sec","baseline_rss_mb","rss_after_fit_mb","rss_after_prediction_mb","peak_rss_mb","incremental_peak_rss_mb","metric_name","metric_value","accuracy","q2","rmsd","prediction_checksum","prediction_length","status","warnings","error","package_version"
"selected_backend__ccle__opls__metal__r2","selected_component_backend_panel","ccle","classification","opls","metal","metal","metal","rsvd","argmax","float64",25,547,71,1000,18,1002,2,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.291,0.006,0.297,229.5,258.15625,258.375,261.1875,31.6875,"accuracy",0.676056338028169,0.676056338028169,0.382902071935521,NA,23468,71,"success","","","0.99.39"
"selected_backend__ccle__opls__metal__r3","selected_component_backend_panel","ccle","classification","opls","metal","metal","metal","rsvd","argmax","float64",25,547,71,1000,18,1003,3,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.276,0.00900000000000001,0.285,221.828125,254.8125,255.0625,256.734375,34.90625,"accuracy",0.676056338028169,0.676056338028169,0.382902071935521,NA,23468,71,"success","","","0.99.39"
"selected_backend__ccle__kernelpls__cpu__r1","selected_component_backend_panel","ccle","classification","kernelpls","cpu",NA,"cpu_flash","rsvd","argmax","float64",26,547,71,1000,18,1001,1,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.153,0.002,0.155,227.84375,236.84375,236.953125,237,9.15625,"accuracy",0.71830985915493,0.71830985915493,0.404626414454975,NA,23556,71,"success","","","0.99.39"
"selected_backend__ccle__kernelpls__cpu__r2","selected_component_backend_panel","ccle","classification","kernelpls","cpu",NA,"cpu_flash","rsvd","argmax","float64",26,547,71,1000,18,1002,2,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.153,0.002,0.155,222.796875,227.703125,227.8125,227.9375,5.140625,"accuracy",0.71830985915493,0.71830985915493,0.404626414454975,NA,23556,71,"success","","","0.99.39"
"selected_backend__ccle__kernelpls__cpu__r3","selected_component_backend_panel","ccle","classification","kernelpls","cpu",NA,"cpu_flash","rsvd","argmax","float64",26,547,71,1000,18,1003,3,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.154,0.002,0.156,226.125,235.140625,235.25,235.296875,9.171875,"accuracy",0.71830985915493,0.71830985915493,0.404626414454975,NA,23556,71,"success","","","0.99.39"
"selected_backend__ccle__kernelpls__metal__r1","selected_component_backend_panel","ccle","classification","kernelpls","metal","metal","metal","rsvd","argmax","float64",26,547,71,1000,18,1001,1,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.203,0.003,0.206,228.28125,260.28125,260.46875,262.9375,34.65625,"accuracy",0.71830985915493,0.71830985915493,0.404626394197711,NA,23556,71,"success","","","0.99.39"
"selected_backend__ccle__kernelpls__metal__r2","selected_component_backend_panel","ccle","classification","kernelpls","metal","metal","metal","rsvd","argmax","float64",26,547,71,1000,18,1002,2,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.215,0.00800000000000001,0.223,223.453125,256.171875,256.359375,257.8125,34.359375,"accuracy",0.71830985915493,0.71830985915493,0.404626394197711,NA,23556,71,"success","","","0.99.39"
"selected_backend__ccle__kernelpls__metal__r3","selected_component_backend_panel","ccle","classification","kernelpls","metal","metal","metal","rsvd","argmax","float64",26,547,71,1000,18,1003,3,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.214,0.00800000000000001,0.222,230.96875,261.828125,262.015625,264.078125,33.109375,"accuracy",0.71830985915493,0.71830985915493,0.404626394197711,NA,23556,71,"success","","","0.99.39"
"selected_backend__cifar100__plssvd__cpu__r1","selected_component_backend_panel","cifar100","classification","plssvd","cpu",NA,"cpu_flash","rsvd","argmax","float64",99,50000,10000,768,100,1001,1,NA,NA,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,5.823,0.271,6.094,266.53125,179.046875,500.875,857.6875,591.15625,"accuracy",0.874,0.874,0.553537714379427,NA,258916663,10000,"success","","","0.99.39"
"selected_backend__cifar100__plssvd__cpu__r2","selected_component_backend_panel","cifar100","classification","plssvd","cpu",NA,"cpu_flash","rsvd","argmax","float64",99,50000,10000,768,100,1002,2,NA,NA,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,6.051,0.278,6.329,572.171875,168.6875,486.09375,745.265625,173.09375,"accuracy",0.874,0.874,0.553537714379427,NA,258916663,10000,"success","","","0.99.39"
