"dataset","task_type","n_train","n_test","p","q","ncomp","method","backend","svd_method","pair","configuration","optimized_value","optimization_applicable","xprod","replicate","fit_time_sec","predict_time_sec","total_time_sec","metric_name","metric_value","rss_before_fit_mb","status","error","fit_window_peak_rss_mb","incremental_peak_rss_mb","prediction_agreement","max_abs_prediction_diff"
"prism","regression",479,54,1000,4686,5,"simpls","cpu","irlba","incremental_coefficients","coefficients_recomputed",FALSE,TRUE,FALSE,2,1.329,0.401,1.73,"rmsd",0.54824784254272,207.90625,"success",NA,608.734375,400.828125,1,0
"prism","regression",479,54,1000,4686,5,"simpls","cpu","irlba","incremental_coefficients","coefficients_recomputed",FALSE,TRUE,FALSE,3,1.351,0.407,1.758,"rmsd",0.54824784254272,214.453125,"success",NA,598.015625,383.5625,1,0
"prism","regression",479,54,1000,4686,5,"simpls","cpu","irlba","compact_prediction","compact_prediction",TRUE,TRUE,FALSE,1,1.146,0.0219999999999998,1.168,"rmsd",0.54824784254272,205.84375,"success",NA,317.296875,111.453125,1,5.32907051820075e-15
"prism","regression",479,54,1000,4686,5,"simpls","cpu","irlba","compact_prediction","compact_prediction",TRUE,TRUE,FALSE,2,1.155,0.022,1.177,"rmsd",0.54824784254272,208.21875,"success",NA,330.359375,122.140625,1,5.32907051820075e-15
"prism","regression",479,54,1000,4686,5,"simpls","cpu","irlba","compact_prediction","compact_prediction",TRUE,TRUE,FALSE,3,1.145,0.022,1.167,"rmsd",0.54824784254272,213.296875,"success",NA,323,109.703125,1,5.32907051820075e-15
"prism","regression",479,54,1000,4686,5,"simpls","cpu","irlba","cached_deflation_products","deflation_cached",TRUE,TRUE,FALSE,1,1.366,0.397,1.763,"rmsd",0.54824784254272,211.265625,"success",NA,621.96875,410.703125,1,3.99680288865056e-15
"prism","regression",479,54,1000,4686,5,"simpls","cpu","irlba","cached_deflation_products","deflation_cached",TRUE,TRUE,FALSE,2,1.36,0.406,1.766,"rmsd",0.54824784254272,211.546875,"success",NA,621.171875,409.625,1,3.99680288865056e-15
"prism","regression",479,54,1000,4686,5,"simpls","cpu","irlba","cached_deflation_products","deflation_cached",TRUE,TRUE,FALSE,3,1.433,0.41,1.843,"rmsd",0.54824784254272,208.578125,"success",NA,668.875,460.296875,1,3.99680288865056e-15
"prism","regression",479,54,1000,4686,5,"simpls","cpu","irlba","cached_deflation_products","deflation_inline",FALSE,TRUE,FALSE,1,1.335,0.402,1.737,"rmsd",0.54824784254272,211.84375,"success",NA,650.109375,438.265625,1,0
"prism","regression",479,54,1000,4686,5,"simpls","cpu","irlba","cached_deflation_products","deflation_inline",FALSE,TRUE,FALSE,2,1.283,0.394,1.677,"rmsd",0.54824784254272,213.5,"success",NA,720.671875,507.171875,1,0
"prism","regression",479,54,1000,4686,5,"simpls","cpu","irlba","cached_deflation_products","deflation_inline",FALSE,TRUE,FALSE,3,1.276,0.395,1.671,"rmsd",0.54824784254272,216.28125,"success",NA,719.78125,503.5,1,0
"prism","regression",479,54,1000,4686,5,"simpls","cpu","irlba","matrix_free","explicit_crosscov",FALSE,TRUE,FALSE,1,1.146,0.0209999999999999,1.167,"rmsd",0.54824784254272,207.75,"success",NA,321.265625,113.515625,1,0
"prism","regression",479,54,1000,4686,5,"simpls","cpu","irlba","matrix_free","explicit_crosscov",FALSE,TRUE,FALSE,2,1.152,0.024,1.176,"rmsd",0.54824784254272,216.671875,"success",NA,316.671875,100,1,0
"prism","regression",479,54,1000,4686,5,"simpls","cpu","irlba","matrix_free","explicit_crosscov",FALSE,TRUE,FALSE,3,1.157,0.0249999999999999,1.182,"rmsd",0.54824784254272,213.140625,"success",NA,292.578125,79.4375,1,0
"prism","regression",479,54,1000,4686,5,"simpls","cpu","irlba","matrix_free","matrix_free",TRUE,TRUE,TRUE,1,0.299,0.0239999999999999,0.323,"rmsd",0.54824784254272,214.265625,"success",NA,280.578125,66.3125,1,5.77315972805081e-15
